location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,start_date,start_date2,ep_end,region
India,Government of India,,GNLA,,1,Garoland,0,3,1997-05-29,2012-11-15,1,3
India,Government of India,,GNLA,,1,Garoland,0,3,1997-05-29,2014-07-01,1,3
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1967-06-05,1,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1969-03-06,0,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1969-03-06,1,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1973-10-06,1,2
Sudan,Government of Sudan,,Republic of South Sudan,,1,Abyei,0,3,2011-05-01,2011-05-19,1,4
South Sudan,Government of South Sudan,,"SSDM/A, SSLM/A",,2,,0,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SSLM/A,,2,,0,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,"SPLM/A - IO, SSDM/A - Cobra Faction",,2,,1,3,2011-08-20,2011-08-20,0,4
"Tanzania, Uganda",Government of Tanzania,,Government of Uganda,,1,Kagera Salient,0,2,1978-11-11,1978-11-15,1,4
"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,,Government of Russia (Soviet Union),,2,,0,2,1979-12-27,1979-12-27,1,"1, 3"
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,NAS,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,NAS,,2,,1,3,2011-08-20,2011-08-20,0,4
Gambia,Government of Gambia,Government of Senegal,NRC,,2,,0,4,1981-07-30,1981-07-30,1,4
Libya,Government of Libya,,ASL,,2,,1,3,2011-02-28,2013-11-29,0,4
Libya,Government of Libya,,"Forces of the House of Representatives, Zintan Military Council",,2,,1,3,2011-02-28,2013-11-29,0,4
