,location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,type_of_conflict_name,start_date,start_date2,ep_end,region,region_name
0,India,Government of India,,GNLA,,1,Garoland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/29/1997,11/15/2012,1,3,Asia
1,India,Government of India,,GNLA,,1,Garoland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/29/1997,7/1/2014,1,3,Asia
2,"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/5/1967,6/5/1967,1,2,Middle East
3,"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/5/1967,3/6/1969,0,2,Middle East
4,"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/5/1967,3/6/1969,1,2,Middle East
5,"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/5/1967,10/6/1973,1,2,Middle East
6,Sudan,Government of Sudan,,Republic of South Sudan,,1,Abyei,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/1/2011,5/19/2011,1,4,Africa
7,South Sudan,Government of South Sudan,,"SSDM/A, SSLM/A",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
8,South Sudan,Government of South Sudan,,SSLM/A,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
9,South Sudan,Government of South Sudan,,"SPLM/A - IO, SSDM/A - Cobra Faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
10,"Tanzania, Uganda",Government of Tanzania,,Government of Uganda,,1,Kagera Salient,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),11/11/1978,11/15/1978,1,4,Africa
11,"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,,Government of Russia (Soviet Union),,2,,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),12/27/1979,12/27/1979,1,"1, 3",Asia
12,South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
13,South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
14,South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
15,South Sudan,Government of South Sudan,,NAS,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
16,South Sudan,Government of South Sudan,,NAS,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",8/20/2011,8/20/2011,0,4,Africa
17,Gambia,Government of Gambia,Government of Senegal,NRC,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",7/30/1981,7/30/1981,1,4,Africa
18,Libya,Government of Libya,,ASL,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/2011,11/29/2013,0,4,Africa
19,Libya,Government of Libya,,"Forces of the House of Representatives, Zintan Military Council",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/2011,11/29/2013,0,4,Africa
20,Libya,Government of Libya,,Forces of the House of Representatives,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/2011,11/29/2013,1,4,Africa
21,Libya,Government of Libya,,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/2011,5/18/2017,1,4,Africa
22,Somalia,Government of Somalia,Government of Ethiopia,ARS/UIC,Government of Eritrea,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
23,Somalia,Government of Somalia,Government of Ethiopia,ARS/UIC,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
24,Mali,Government of Mali,,AQIM,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",6/10/2009,6/16/2009,1,4,Africa
25,Mali,Government of Mali,,"Ansar Dine, Military faction (Red Berets)",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",6/10/2009,1/24/2012,0,4,Africa
26,Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, ARS/UIC",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
27,Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, Hizbul Islam",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
28,Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, Hizbul Islam",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
29,Somalia,Government of Somalia,"Government of Ethiopia, Government of Kenya",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
30,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
31,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
32,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
33,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
34,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
35,China,Government of China,,ETIM,,1,East Turkestan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/5/1990,8/10/2008,1,3,Asia
36,Bangladesh,Government of Bangladesh,,"PBCP, PBCP-J",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/24/1994,2/8/2005,0,3,Asia
37,Bangladesh,Government of Bangladesh,,PBCP-J,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/24/1994,2/8/2005,1,3,Asia
38,Ethiopia,Government of Ethiopia,,IGLF,,1,Hararghe,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",10/10/1991,10/10/1991,1,4,Africa
39,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,12/31/1991,1,3,Asia
40,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,4/17/1995,1,3,Asia
41,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,2/28/2000,0,3,Asia
42,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,2/28/2000,1,3,Asia
43,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,1/31/2005,0,3,Asia
44,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,1/31/2005,0,3,Asia
45,Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1991,1/31/2005,1,3,Asia
46,Malaysia,Government of Malaysia,,Sultanate of Sulu,,1,Sabah,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/1/2013,3/2/2013,1,3,Asia
47,Hyderabad,Government of Hyderabad,,CPI,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",6/30/1947,6/30/1947,0,3,Asia
48,Hyderabad,Government of Hyderabad,,CPI,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",6/30/1947,6/30/1947,1,3,Asia
49,Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",9/10/2011,9/7/2012,0,2,Middle East
50,Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",9/10/2011,9/7/2012,0,2,Middle East
51,Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",9/10/2011,9/7/2012,0,2,Middle East
