,Unnamed: 0,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
0,0,India,Government of India,GNLA,Garoland,1997-05-29,2012-11-15,3,3,1359.88,2853.13,12588.31
1,1,India,Government of India,GNLA,Garoland,1997-05-29,2014-07-01,3,3,1985.44,4485.93,17068.26
2,6,Sudan,Government of Sudan,Republic of South Sudan,Abyei,2011-05-01,2011-05-19,4,3,1333.27,2803.32,12512.04
3,7,South Sudan,Government of South Sudan,"SSDM/A, SSLM/A",,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
4,8,South Sudan,Government of South Sudan,SSLM/A,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
5,9,South Sudan,Government of South Sudan,"SPLM/A - IO, SSDM/A - Cobra Faction",,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
6,10,"Tanzania, Uganda",Government of Tanzania,Government of Uganda,Kagera Salient,1978-11-11,1978-11-15,4,2,94.42,113.69,797.73
7,11,"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,Government of Russia (Soviet Union),,1979-12-27,1979-12-27,"1, 3",2,107.84,150.83,838.91
8,12,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
9,13,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
10,14,South Sudan,Government of South Sudan,SPLM/A - IO,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
11,15,South Sudan,Government of South Sudan,NAS,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
12,16,South Sudan,Government of South Sudan,NAS,,2011-08-20,2011-08-20,4,3,1123.53,2341.84,10817.65
13,17,Gambia,Government of Gambia,NRC,,1981-07-30,1981-07-30,4,4,130.92,211.63,952.34
14,18,Libya,Government of Libya,ASL,,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
15,19,Libya,Government of Libya,"Forces of the House of Representatives, Zintan Military Council",,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
16,20,Libya,Government of Libya,Forces of the House of Representatives,,2011-02-28,2013-11-29,4,3,1805.81,4059.89,16086.41
17,21,Libya,Government of Libya,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",,2011-02-28,2017-05-18,4,3,2381.73,6083.7,20804.84
18,22,Somalia,Government of Somalia,ARS/UIC,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
19,23,Somalia,Government of Somalia,ARS/UIC,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
20,24,Mali,Government of Mali,AQIM,,2009-06-10,2009-06-16,4,3,921.23,1827.47,8539.73
