Date,S&P_500,NASDAQ,Dow_Jones
1977-09-02,97.45,100.83,872.31
1977-09-09,96.37,100.91,857.04
1977-09-16,96.48,100.74,856.81
1977-09-23,95.04,99.57,839.14
1977-09-30,96.53,100.85,847.11
1977-10-07,95.97,101.62,840.35
1977-10-14,93.56,99.05,821.64
1977-10-21,92.32,98.54,808.3
1977-10-28,92.61,97.49,822.68
1977-11-04,91.58,97.21,809.94
1977-11-11,95.98,100.94,845.89
1977-11-18,95.33,102.22,835.76
1977-11-25,96.69,104.33,844.42
1977-12-02,94.67,104.1,823.98
1977-12-09,93.65,103.57,815.23
1977-12-16,93.4,104.05,815.32
1977-12-23,94.69,103.94,829.87
1977-12-30,95.1,105.05,831.17
1978-01-06,91.62,101.66,793.49
1978-01-13,89.69,99.77,775.73
1978-01-20,89.89,100.63,776.94
1978-01-27,88.58,100.62,764.12
1978-02-03,89.62,102.22,770.96
1978-02-10,90.08,103.58,775.99
1978-02-17,87.96,102.25,752.69
1978-02-24,88.49,102.7,756.24
1978-03-03,87.45,101.95,747.31
1978-03-10,88.88,103.42,758.58
1978-03-17,90.2,104.94,768.71
1978-03-23,89.36,105.39,756.5
1978-03-31,89.21,106.2,757.36
1978-04-07,90.17,108.23,769.58
1978-04-14,92.92,111.29,795.13
1978-04-21,94.34,113.32,812.8
1978-04-28,96.83,115.18,837.32
1978-05-05,96.53,117.27,829.09
1978-05-12,98.07,119.4,840.7
1978-05-19,98.12,121.57,846.85
1978-05-26,96.58,119.86,831.69
1978-06-02,98.14,121.03,847.54
1978-06-09,99.93,124.41,859.23
1978-06-16,97.42,123.69,836.97
1978-06-23,95.85,120.74,823.02
1978-06-30,95.53,120.3,818.95
1978-07-07,94.89,119.16,812.46
1978-07-14,97.58,121.58,839.83
1978-07-21,97.75,123.6,833.42
1978-07-28,100.0,125.62,856.29
1978-08-04,103.92,129.71,888.43
1978-08-11,103.96,132.0,890.85
1978-08-18,104.73,134.71,896.83
1978-08-25,104.9,135.84,895.53
1978-09-01,103.68,135.35,879.33
1978-09-08,106.79,138.36,907.74
1978-09-15,104.12,137.36,878.55
1978-09-22,101.84,132.3,862.44
1978-09-29,102.54,132.89,865.82
1978-10-06,103.52,134.0,880.02
1978-10-13,104.66,135.58,897.09
1978-10-20,97.95,123.82,838.01
1978-10-27,94.59,115.25,806.05
1978-11-03,96.18,115.49,823.11
1978-11-10,94.77,114.84,807.09
1978-11-17,94.42,113.69,797.73
1978-11-24,95.79,116.17,810.12
1978-12-01,96.28,116.19,811.5
1978-12-08,96.63,118.77,811.85
1978-12-15,95.33,117.41,805.35
1978-12-22,96.31,116.93,808.47
1978-12-29,96.11,117.98,805.01
1979-01-05,99.13,122.05,830.73
1979-01-12,99.93,123.74,836.28
1979-01-19,99.75,124.65,837.49
1979-01-26,101.86,127.04,859.75
1979-02-02,99.5,125.82,834.63
1979-02-09,97.87,123.76,822.23
1979-02-16,98.67,125.57,827.01
1979-02-23,97.78,125.04,823.28
1979-03-02,96.97,123.67,815.75
1979-03-09,99.54,127.25,842.86
1979-03-16,100.69,128.55,852.82
1979-03-23,101.6,130.58,859.75
1979-03-30,101.59,131.76,862.18
1979-04-06,103.18,133.75,875.69
1979-04-12,102.0,133.54,870.5
1979-04-20,101.23,133.67,856.98
1979-04-27,101.8,134.37,856.64
1979-05-04,100.69,133.72,847.54
1979-05-11,98.52,129.69,830.56
1979-05-18,99.93,131.01,841.91
1979-05-25,100.22,132.68,836.28
1979-06-01,99.17,131.76,821.21
1979-06-08,101.49,134.96,835.15
1979-06-15,102.09,136.25,843.3
1979-06-22,102.64,137.24,849.1
1979-06-29,102.91,138.13,841.98
1979-07-06,103.62,138.64,846.16
1979-07-13,102.32,138.52,833.53
1979-07-20,101.82,137.98,828.07
1979-07-27,103.1,140.02,839.76
1979-08-03,104.04,142.63,846.16
1979-08-10,106.4,145.07,867.06
1979-08-17,108.3,147.84,883.36
1979-08-24,108.6,149.4,880.2
1979-08-31,109.32,150.44,887.63
1979-09-07,107.66,148.07,874.15
1979-09-14,108.76,150.56,879.1
1979-09-21,110.47,150.65,893.94
1979-09-28,109.32,149.98,878.58
1979-10-05,111.27,152.29,897.61
1979-10-12,104.49,140.71,838.99
1979-10-19,101.6,136.59,814.68
1979-10-26,100.57,133.75,809.3
1979-11-02,102.51,136.88,818.94
1979-11-09,101.51,135.86,806.48
1979-11-16,103.79,139.07,815.7
1979-11-23,104.67,139.85,811.77
1979-11-30,106.16,144.26,822.35
1979-12-07,107.52,147.49,833.19
1979-12-14,108.92,150.03,842.75
1979-12-21,107.59,150.17,838.91
1979-12-28,107.84,150.83,838.91
1980-01-04,106.52,148.02,828.84
1980-01-11,109.92,153.87,858.53
1980-01-18,111.07,156.14,867.15
1980-01-25,113.61,159.7,876.11
1980-02-01,115.12,162.3,881.48
1980-02-08,117.95,165.25,895.73
1980-02-15,115.41,162.56,884.98
1980-02-22,115.04,160.08,868.77
1980-02-29,113.66,158.03,863.14
1980-03-07,106.9,146.19,820.56
1980-03-14,105.43,144.44,811.69
1980-03-21,102.31,138.8,785.15
1980-03-28,100.68,129.25,777.65
1980-04-03,102.15,136.01,784.13
1980-04-11,103.79,137.75,791.55
1980-04-18,100.55,134.66,763.4
1980-04-25,105.16,137.92,803.58
1980-05-02,105.58,140.25,810.92
1980-05-09,104.72,143.06,805.8
1980-05-16,107.35,147.24,826.88
1980-05-23,110.62,149.48,854.1
1980-05-30,111.24,150.45,850.85
1980-06-06,113.2,152.68,861.52
1980-06-13,115.81,156.59,876.37
1980-06-20,114.06,156.51,869.71
1980-06-27,116.0,159.18,881.83
1980-07-03,117.46,160.87,888.91
1980-07-11,117.84,164.82,891.13
1980-07-18,122.04,169.99,923.98
1980-07-25,120.78,169.63,918.09
1980-08-01,121.21,172.49,931.48
1980-08-08,123.61,175.88,954.69
1980-08-15,125.72,179.89,966.72
1980-08-22,126.02,181.7,958.19
1980-08-29,122.38,181.52,932.59
1980-09-05,124.88,185.61,940.96
1980-09-12,125.54,189.58,936.52
1980-09-19,129.25,195.33,963.74
1980-09-26,126.35,190.77,940.1
1980-10-03,129.33,193.43,950.68
1980-10-10,130.29,197.79,950.68
1980-10-17,131.52,197.24,956.14
1980-10-24,129.85,196.17,943.6
1980-10-31,127.47,192.78,924.49
1980-11-07,129.18,193.51,932.42
1980-11-14,137.15,201.76,986.35
1980-11-21,139.11,206.07,989.93
1980-11-28,140.52,208.15,993.34
1980-12-05,134.03,203.02,956.23
1980-12-12,129.23,191.22,917.15
1980-12-19,133.7,197.91,937.2
1980-12-26,136.57,201.28,966.38
1981-01-02,136.34,203.55,972.78
1981-01-09,133.48,197.66,968.69
1981-01-16,134.77,201.13,973.29
1981-01-23,130.23,197.52,940.19
1981-01-30,129.55,197.81,947.27
1981-02-06,130.6,197.87,952.3
1981-02-13,126.98,193.89,931.57
1981-02-20,126.58,192.29,936.09
1981-02-27,131.27,198.01,974.58
1981-03-06,129.85,199.89,964.62
1981-03-13,133.11,202.17,985.77
1981-03-20,134.08,206.29,992.8
1981-03-27,134.65,208.82,994.78
1981-04-03,135.49,212.65,1007.11
1981-04-10,134.51,215.15,1000.27
1981-04-16,134.7,216.64,1005.58
1981-04-24,135.14,219.56,1020.35
1981-05-01,132.72,216.68,995.59
1981-05-08,131.66,214.84,976.4
1981-05-15,132.17,216.51,985.95
1981-05-22,131.33,219.23,971.72
1981-05-29,132.59,223.47,991.75
1981-06-05,132.22,221.3,993.79
1981-06-12,133.49,222.76,1006.28
1981-06-19,132.27,219.56,996.19
1981-06-26,132.56,219.76,992.87
1981-07-02,128.64,212.8,959.19
1981-07-10,129.37,210.54,955.67
1981-07-17,130.76,212.76,958.9
1981-07-24,128.46,208.0,936.74
