,location,side_a,start_date,start_date2,region,region name,type_of_conflict,type_of_conflict_name,S&P_500,NASDAQ,Dow_Jones,Year,Month
13,Gambia,Government of Gambia,7/30/1981,7/30/1981,4,Africa,4,Internationalized Intrastate ,130.92,211.63,952.34,1981,7
18,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
19,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
22,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
23,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
24,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
25,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
26,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
27,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
28,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
29,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
30,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
48,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
49,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
50,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
51,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
66,Algeria,Government of Algeria,8/27/1985,12/9/1991,4,Africa,4,Internationalized Intrastate ,379.1,536.3,2886.4,1985,8
69,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
70,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
72,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
74,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707,13907.25,1990,2
75,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707,13907.25,1990,2
76,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707,13907.25,1990,2
77,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707,13907.25,1990,2
