,location,side_a,start_date,start_date2,region,region name,type_of_conflict,type_of_conflict_name,S&P_500,NASDAQ,Dow_Jones,Year,Month
0,Gambia,Government of Gambia,7/30/1981,7/30/1981,4,Africa,4,Internationalized Intrastate ,130.92,211.63,952.34,1981,7
1,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
2,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
3,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
4,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
5,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
6,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
7,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
8,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
9,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
10,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
11,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
12,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
13,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
14,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
15,Somalia,Government of Somalia,1/18/1982,10/24/2006,4,Africa,4,Internationalized Intrastate ,1377.34,2350.62,12090.26,1982,1
16,Algeria,Government of Algeria,8/27/1985,12/9/1991,4,Africa,4,Internationalized Intrastate ,379.1,536.3,2886.4,1985,8
17,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
18,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
19,Burkina Faso,Government of Burkina Faso,10/15/1987,5/22/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1987,10
20,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707.0,13907.25,1990,2
21,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707.0,13907.25,1990,2
22,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707.0,13907.25,1990,2
23,Pakistan,Government of Pakistan,2/11/1990,7/15/2007,3,Asia,4,Internationalized Intrastate ,1552.5,2707.0,13907.25,1990,2
24,Mali,Government of Mali,6/28/1990,5/17/2014,4,Africa,4,Internationalized Intrastate ,1877.86,4090.59,16491.31,1990,6
25,Rwanda,Government of Rwanda,10/1/1990,10/3/1990,4,Africa,4,Internationalized Intrastate ,311.5,347.4,2510.64,1990,10
26,Rwanda,Government of Rwanda,10/1/1990,2/16/2009,4,Africa,4,Internationalized Intrastate ,826.84,1534.36,7850.41,1990,10
27,Rwanda,Government of Rwanda,10/1/1990,2/16/2009,4,Africa,4,Internationalized Intrastate ,826.84,1534.36,7850.41,1990,10
28,Rwanda,Government of Rwanda,10/1/1990,2/16/2009,4,Africa,4,Internationalized Intrastate ,826.84,1534.36,7850.41,1990,10
29,Rwanda,Government of Rwanda,10/1/1990,2/16/2009,4,Africa,4,Internationalized Intrastate ,826.84,1534.36,7850.41,1990,10
30,Rwanda,Government of Rwanda,10/1/1990,3/29/2016,4,Africa,4,Internationalized Intrastate ,2072.78,4914.54,17792.75,1990,10
31,Rwanda,Government of Rwanda,10/1/1990,12/15/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1990,10
32,Rwanda,Government of Rwanda,10/1/1990,12/15/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1990,10
33,Rwanda,Government of Rwanda,10/1/1990,12/15/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1990,10
34,Sierra Leone,Government of Sierra Leone,3/23/1991,4/1/1991,4,Africa,4,Internationalized Intrastate ,375.36,495.79,2896.78,1991,3
35,Sierra Leone,Government of Sierra Leone,3/23/1991,4/1/1991,4,Africa,4,Internationalized Intrastate ,375.36,495.79,2896.78,1991,3
36,Sierra Leone,Government of Sierra Leone,3/23/1991,4/1/1991,4,Africa,4,Internationalized Intrastate ,375.36,495.79,2896.78,1991,3
37,Sierra Leone,Government of Sierra Leone,3/23/1991,4/1/1991,4,Africa,4,Internationalized Intrastate ,375.36,495.79,2896.78,1991,3
38,Sierra Leone,Government of Sierra Leone,3/23/1991,4/1/1991,4,Africa,4,Internationalized Intrastate ,375.36,495.79,2896.78,1991,3
