Date,S&P_500,NASDAQ,Dow_Jones
9/2/1977,97.45,100.83,872.31
9/9/1977,96.37,100.91,857.04
9/16/1977,96.48,100.74,856.81
9/23/1977,95.04,99.57,839.14
9/30/1977,96.53,100.85,847.11
10/7/1977,95.97,101.62,840.35
10/14/1977,93.56,99.05,821.64
10/21/1977,92.32,98.54,808.3
10/28/1977,92.61,97.49,822.68
11/4/1977,91.58,97.21,809.94
11/11/1977,95.98,100.94,845.89
11/18/1977,95.33,102.22,835.76
11/25/1977,96.69,104.33,844.42
12/2/1977,94.67,104.1,823.98
12/9/1977,93.65,103.57,815.23
12/16/1977,93.4,104.05,815.32
12/23/1977,94.69,103.94,829.87
12/30/1977,95.1,105.05,831.17
1/6/1978,91.62,101.66,793.49
1/13/1978,89.69,99.77,775.73
1/20/1978,89.89,100.63,776.94
1/27/1978,88.58,100.62,764.12
2/3/1978,89.62,102.22,770.96
2/10/1978,90.08,103.58,775.99
2/17/1978,87.96,102.25,752.69
2/24/1978,88.49,102.7,756.24
3/3/1978,87.45,101.95,747.31
3/10/1978,88.88,103.42,758.58
3/17/1978,90.2,104.94,768.71
3/23/1978,89.36,105.39,756.5
3/31/1978,89.21,106.2,757.36
4/7/1978,90.17,108.23,769.58
4/14/1978,92.92,111.29,795.13
4/21/1978,94.34,113.32,812.8
4/28/1978,96.83,115.18,837.32
5/5/1978,96.53,117.27,829.09
5/12/1978,98.07,119.4,840.7
5/19/1978,98.12,121.57,846.85
5/26/1978,96.58,119.86,831.69
6/2/1978,98.14,121.03,847.54
6/9/1978,99.93,124.41,859.23
6/16/1978,97.42,123.69,836.97
6/23/1978,95.85,120.74,823.02
6/30/1978,95.53,120.3,818.95
7/7/1978,94.89,119.16,812.46
7/14/1978,97.58,121.58,839.83
7/21/1978,97.75,123.6,833.42
7/28/1978,100,125.62,856.29
8/4/1978,103.92,129.71,888.43
8/11/1978,103.96,132,890.85
8/18/1978,104.73,134.71,896.83
8/25/1978,104.9,135.84,895.53
9/1/1978,103.68,135.35,879.33
9/8/1978,106.79,138.36,907.74
9/15/1978,104.12,137.36,878.55
9/22/1978,101.84,132.3,862.44
9/29/1978,102.54,132.89,865.82
10/6/1978,103.52,134,880.02
10/13/1978,104.66,135.58,897.09
10/20/1978,97.95,123.82,838.01
10/27/1978,94.59,115.25,806.05
11/3/1978,96.18,115.49,823.11
11/10/1978,94.77,114.84,807.09
11/17/1978,94.42,113.69,797.73
11/24/1978,95.79,116.17,810.12
12/1/1978,96.28,116.19,811.5
12/8/1978,96.63,118.77,811.85
12/15/1978,95.33,117.41,805.35
12/22/1978,96.31,116.93,808.47
12/29/1978,96.11,117.98,805.01
1/5/1979,99.13,122.05,830.73
1/12/1979,99.93,123.74,836.28
1/19/1979,99.75,124.65,837.49
1/26/1979,101.86,127.04,859.75
2/2/1979,99.5,125.82,834.63
2/9/1979,97.87,123.76,822.23
2/16/1979,98.67,125.57,827.01
2/23/1979,97.78,125.04,823.28
3/2/1979,96.97,123.67,815.75
3/9/1979,99.54,127.25,842.86
3/16/1979,100.69,128.55,852.82
3/23/1979,101.6,130.58,859.75
3/30/1979,101.59,131.76,862.18
4/6/1979,103.18,133.75,875.69
4/12/1979,102,133.54,870.5
4/20/1979,101.23,133.67,856.98
4/27/1979,101.8,134.37,856.64
5/4/1979,100.69,133.72,847.54
5/11/1979,98.52,129.69,830.56
5/18/1979,99.93,131.01,841.91
5/25/1979,100.22,132.68,836.28
6/1/1979,99.17,131.76,821.21
6/8/1979,101.49,134.96,835.15
6/15/1979,102.09,136.25,843.3
6/22/1979,102.64,137.24,849.1
6/29/1979,102.91,138.13,841.98
7/6/1979,103.62,138.64,846.16
7/13/1979,102.32,138.52,833.53
7/20/1979,101.82,137.98,828.07
7/27/1979,103.1,140.02,839.76
8/3/1979,104.04,142.63,846.16
8/10/1979,106.4,145.07,867.06
8/17/1979,108.3,147.84,883.36
8/24/1979,108.6,149.4,880.2
8/31/1979,109.32,150.44,887.63
9/7/1979,107.66,148.07,874.15
9/14/1979,108.76,150.56,879.1
9/21/1979,110.47,150.65,893.94
9/28/1979,109.32,149.98,878.58
10/5/1979,111.27,152.29,897.61
10/12/1979,104.49,140.71,838.99
10/19/1979,101.6,136.59,814.68
10/26/1979,100.57,133.75,809.3
11/2/1979,102.51,136.88,818.94
11/9/1979,101.51,135.86,806.48
11/16/1979,103.79,139.07,815.7
11/23/1979,104.67,139.85,811.77
11/30/1979,106.16,144.26,822.35
12/7/1979,107.52,147.49,833.19
12/14/1979,108.92,150.03,842.75
12/21/1979,107.59,150.17,838.91
12/28/1979,107.84,150.83,838.91
1/4/1980,106.52,148.02,828.84
1/11/1980,109.92,153.87,858.53
1/18/1980,111.07,156.14,867.15
1/25/1980,113.61,159.7,876.11
2/1/1980,115.12,162.3,881.48
2/8/1980,117.95,165.25,895.73
2/15/1980,115.41,162.56,884.98
2/22/1980,115.04,160.08,868.77
2/29/1980,113.66,158.03,863.14
3/7/1980,106.9,146.19,820.56
3/14/1980,105.43,144.44,811.69
3/21/1980,102.31,138.8,785.15
3/28/1980,100.68,129.25,777.65
4/3/1980,102.15,136.01,784.13
4/11/1980,103.79,137.75,791.55
4/18/1980,100.55,134.66,763.4
4/25/1980,105.16,137.92,803.58
5/2/1980,105.58,140.25,810.92
5/9/1980,104.72,143.06,805.8
5/16/1980,107.35,147.24,826.88
5/23/1980,110.62,149.48,854.1
5/30/1980,111.24,150.45,850.85
6/6/1980,113.2,152.68,861.52
6/13/1980,115.81,156.59,876.37
6/20/1980,114.06,156.51,869.71
6/27/1980,116,159.18,881.83
7/3/1980,117.46,160.87,888.91
7/11/1980,117.84,164.82,891.13
7/18/1980,122.04,169.99,923.98
7/25/1980,120.78,169.63,918.09
8/1/1980,121.21,172.49,931.48
8/8/1980,123.61,175.88,954.69
8/15/1980,125.72,179.89,966.72
8/22/1980,126.02,181.7,958.19
8/29/1980,122.38,181.52,932.59
9/5/1980,124.88,185.61,940.96
9/12/1980,125.54,189.58,936.52
9/19/1980,129.25,195.33,963.74
9/26/1980,126.35,190.77,940.1
10/3/1980,129.33,193.43,950.68
10/10/1980,130.29,197.79,950.68
10/17/1980,131.52,197.24,956.14
10/24/1980,129.85,196.17,943.6
10/31/1980,127.47,192.78,924.49
11/7/1980,129.18,193.51,932.42
11/14/1980,137.15,201.76,986.35
11/21/1980,139.11,206.07,989.93
11/28/1980,140.52,208.15,993.34
